Student,LPIPS,SSIM
112590014.png,0.0,1.0
112590023.png,0.2515537142753601,0.759791170550602
112590022.png,0.252114862203598,0.696447692790375
112590017.png,0.26844507455825806,0.7412097837081837
112590044.png,0.27468687295913696,0.7496161709491117
112590004.png,0.29446449875831604,0.7050861796888835
112590007.png,0.30217140913009644,0.7035439897900164
112590060.png,0.3183513283729553,0.7184916344083638
112590029.png,0.31880125403404236,0.7529161716722476
110590456.png,0.31988129019737244,0.7243165030546036
112590013.png,0.32580581307411194,0.7415963214723819
112590056.png,0.33075323700904846,0.7404941733093707
112590012.png,0.3332892060279846,0.7395953040726929
112590036.png,0.33924219012260437,0.7129159234440788
112590059.png,0.34008413553237915,0.720445427144656
112590035.png,0.3449000120162964,0.6730248279890986
111332012.png,0.3482186794281006,0.6592196605041883
112590057.png,0.34948891401290894,0.6330570399009043
112590003.png,0.35050302743911743,0.7217540450071817
112590041.png,0.35118865966796875,0.7019220705856212
112590038.png,0.35203662514686584,0.7022331615027081
109810011.png,0.3618820905685425,0.6762687516100638
110590041.png,0.36356431245803833,0.6642887811323411
112590005.png,0.3691462278366089,0.6540273663965704
112590026.png,0.3765181303024292,0.669958980253423
113378043.png,0.37723520398139954,0.67011633065212
112590030.png,0.3778066039085388,0.6252410890286145
112590009.png,0.38774099946022034,0.6408244195756292
112590020.png,0.4155419170856476,0.6624353856781109
112590021.png,0.4256146550178528,0.6253706066210183
112ab0053.png,0.4281899929046631,0.736882824137825
111820017.jpg,0.4366663694381714,0.6938212003545455
112590033.png,0.44417914748191833,0.6838650755264178
112590051.png,0.46408355236053467,0.5905962418067703
112590052.png,0.48235881328582764,0.5487358782071905
110820009.png,0.5089543461799622,0.6085323222051181
112590031.png,0.5090540647506714,0.5317995545204488
112590018.png,0.54228675365448,0.5253655052389292
112590024.png,0.5578659176826477,0.5206388531928482
112590053.png,0.5588126182556152,0.5364436408309585
